--- JDI 哨兵已上线 (PID: 45173) ---
[2026-03-13 17:06:52] [NORMAL] CPU: 17.3% | MEM: 62.9%
[2026-03-13 17:07:03] [NORMAL] CPU: 2.7% | MEM: 62.8%
[2026-03-13 17:07:14] [NORMAL] CPU: 3.7% | MEM: 63.2%
[2026-03-13 17:07:25] [NORMAL] CPU: 3.4% | MEM: 63.1%
[2026-03-13 17:07:36] [NORMAL] CPU: 2.7% | MEM: 62.5%
[2026-03-13 17:07:47] [NORMAL] CPU: 2.6% | MEM: 62.8%
[2026-03-13 17:07:58] [NORMAL] CPU: 20.0% | MEM: 63.1%
[2026-03-13 17:08:09] [NORMAL] CPU: 20.4% | MEM: 65.1%
[2026-03-13 17:08:20] [NORMAL] CPU: 25.9% | MEM: 66.8%
[2026-03-13 17:08:31] [NORMAL] CPU: 18.2% | MEM: 64.9%
[2026-03-13 17:08:42] [NORMAL] CPU: 12.2% | MEM: 65.1%
[2026-03-13 17:08:53] [NORMAL] CPU: 13.1% | MEM: 63.7%
[2026-03-13 17:09:04] [NORMAL] CPU: 17.4% | MEM: 64.8%
[2026-03-13 17:09:15] [NORMAL] CPU: 14.2% | MEM: 64.6%
[2026-03-13 17:09:26] [NORMAL] CPU: 3.4% | MEM: 64.6%
[2026-03-13 17:09:37] [NORMAL] CPU: 12.0% | MEM: 64.8%
[2026-03-13 17:09:48] [NORMAL] CPU: 5.5% | MEM: 64.0%
[2026-03-13 17:09:59] [NORMAL] CPU: 5.5% | MEM: 63.8%
[2026-03-13 17:10:10] [NORMAL] CPU: 5.6% | MEM: 63.7%
[2026-03-13 17:10:21] [NORMAL] CPU: 6.3% | MEM: 63.3%
[2026-03-13 17:10:32] [NORMAL] CPU: 5.0% | MEM: 63.3%
[2026-03-13 17:10:43] [NORMAL] CPU: 2.9% | MEM: 64.7%
[2026-03-13 17:10:54] [NORMAL] CPU: 12.8% | MEM: 65.3%
[2026-03-13 17:11:05] [NORMAL] CPU: 3.1% | MEM: 64.2%
[2026-03-13 17:11:16] [NORMAL] CPU: 17.0% | MEM: 64.5%
[2026-03-13 17:11:27] [⚠️ WARNING] CPU: 81.1% | MEM: 66.9%
[2026-03-13 17:11:38] [NORMAL] CPU: 19.2% | MEM: 67.7%
[2026-03-13 17:11:49] [NORMAL] CPU: 20.7% | MEM: 67.0%
[2026-03-13 17:12:00] [NORMAL] CPU: 7.4% | MEM: 67.1%
[2026-03-13 17:12:11] [NORMAL] CPU: 6.7% | MEM: 67.0%
[2026-03-13 17:12:22] [NORMAL] CPU: 12.4% | MEM: 66.7%
[2026-03-13 17:12:33] [NORMAL] CPU: 10.4% | MEM: 66.7%
[2026-03-13 17:12:44] [NORMAL] CPU: 4.4% | MEM: 66.6%
[2026-03-13 17:12:55] [NORMAL] CPU: 13.9% | MEM: 66.6%
[2026-03-13 17:13:06] [NORMAL] CPU: 3.4% | MEM: 66.6%
[2026-03-13 17:13:17] [NORMAL] CPU: 2.9% | MEM: 66.4%
[2026-03-13 17:13:28] [NORMAL] CPU: 14.0% | MEM: 67.2%
[2026-03-13 17:13:39] [NORMAL] CPU: 6.7% | MEM: 65.7%
[2026-03-13 17:13:50] [NORMAL] CPU: 2.6% | MEM: 66.1%
[2026-03-13 17:14:01] [NORMAL] CPU: 3.3% | MEM: 66.3%
[2026-03-13 17:14:12] [NORMAL] CPU: 18.4% | MEM: 66.9%
[2026-03-13 17:14:23] [NORMAL] CPU: 4.7% | MEM: 66.1%
[2026-03-13 17:14:34] [NORMAL] CPU: 4.4% | MEM: 66.6%
[2026-03-13 17:14:45] [NORMAL] CPU: 2.5% | MEM: 66.3%
[2026-03-13 17:14:56] [NORMAL] CPU: 2.6% | MEM: 66.1%
[2026-03-13 17:15:07] [NORMAL] CPU: 2.6% | MEM: 65.9%
[2026-03-13 17:15:18] [NORMAL] CPU: 3.9% | MEM: 66.0%
[2026-03-13 17:15:29] [NORMAL] CPU: 2.7% | MEM: 66.0%
[2026-03-13 17:15:40] [NORMAL] CPU: 2.4% | MEM: 66.0%
[2026-03-13 17:15:51] [NORMAL] CPU: 5.9% | MEM: 66.3%
[2026-03-13 17:16:02] [NORMAL] CPU: 11.4% | MEM: 66.5%
